ID,Month,Avy_Mort,Prop_Avy
LG148,12,0,0.15
LG149,1,0,0.32
LG149,2,0,0.07
LG149,3,0,0.21
LG149,4,0,0.72
LG149,5,0,0.96
LG149,10,0,0.94
LG149,11,0,0.19
LG149,12,0,0.32
LG150,1,1,0.4
LG150,2,1,0.13
LG150,3,1,0.06
LG150,4,1,0.56
LG150,5,1,0.85
LG150,10,1,0.9
LG150,11,1,0.76
LG150,12,1,0.16
LG151,1,1,0.01
LG151,2,1,0.02
LG151,3,1,0.01
LG151,4,1,0.06
LG151,5,1,0.04
LG151,10,1,0.33
LG151,11,1,0.18
LG151,12,1,0.01
LG152,1,1,0.41
LG152,2,1,0.08
LG152,3,1,0.02
LG152,4,1,0.09
LG152,5,1,0.06
LG152,10,1,0.32
LG152,11,1,0.21
LG152,12,1,0.38
LG153,1,0,0.09
LG153,2,0,0.48
LG153,3,0,0.44
LG153,4,0,0.55
LG153,5,0,0.74
LG153,10,0,0.93
LG153,11,0,0.32
LG153,12,0,0.13
LG154,1,0,0.01
LG154,2,0,0.08
LG154,3,0,0.08
LG154,4,0,0.15
LG154,5,0,0.63
LG154,10,0,0.87
LG154,11,0,0.33
LG154,12,0,0.09
LG155,1,0,0.05
LG155,2,0,0.13
LG155,3,0,0
LG155,4,0,0
LG155,5,0,0.22
LG155,10,0,0.87
LG155,11,0,0.2
LG155,12,0,0
LG156,1,0,0.13
LG156,2,0,0
LG156,3,0,0.11
LG156,4,0,0.05
LG156,5,0,0.11
LG156,10,0,0.74
LG156,11,0,0.24
LG156,12,0,0.2
LG157,1,0,0.06
LG157,2,0,0.3
LG157,3,0,0.52
LG157,4,0,0.5
LG157,5,0,0.67
LG157,10,0,0.9
LG157,11,0,0.39
LG157,12,0,0.3
LG158,1,0,0.59
LG158,2,0,0.75
LG158,3,0,0.55
LG158,4,0,0.78
LG158,5,0,0.58
LG158,10,0,0.82
LG158,11,0,0.38
LG158,12,0,0.6
LG159,1,1,0.49
LG159,2,1,0.64
LG159,3,1,0.67
LG159,4,1,0.6
LG159,5,1,0.56
LG159,10,1,0.92
LG159,11,1,0.32
LG159,12,1,0.31
LG160,1,0,0.16
LG160,2,0,0.1
LG160,3,0,0.09
LG160,4,0,0
LG160,5,0,0.76
LG160,10,0,0.79
LG160,11,0,0.27
LG160,12,0,0.07
LG161,1,0,0.38
LG161,2,0,0.49
LG161,3,0,0.74
LG161,4,0,0.8
LG161,5,0,0.88
LG161,10,0,0.98
LG161,11,0,0.6
LG161,12,0,0.18
LG162,1,0,0.23
LG162,2,0,0.06
LG162,3,0,0.06
LG162,4,0,0.2
LG162,5,0,0.91
LG162,10,0,0.95
LG162,11,0,0.45
LG162,12,0,0.18
LG163,1,0,0.33
LG163,2,0,0.84
LG163,3,0,0.95
LG163,4,0,0.91
LG163,5,0,0.65
LG163,10,0,0.94
LG163,11,0,0.27
LG163,12,0,0.33
LG164,1,0,0.37
LG164,2,0,0.54
LG164,3,0,0.67
LG164,4,0,0.77
LG164,5,0,0.87
LG164,10,0,0.99
LG164,11,0,0.69
LG164,12,0,0.36
LG166,1,0,0
LG166,2,0,0.41
LG166,3,0,0.98
LG166,4,0,0.97
LG166,5,0,1
LG166,10,0,0.99
LG166,11,0,0.35
LG166,12,0,0
LG167,1,1,0.09
LG167,2,1,0.04
LG167,3,1,0.09
LG167,4,1,0.3
LG167,5,1,0.82
LG167,10,1,0.9
LG167,11,1,0.34
LG167,12,1,0.19
LG168,1,0,0.2
LG168,2,0,0.1
LG168,3,0,0.16
LG168,4,0,0.56
LG168,5,0,0.86
LG168,10,0,0.91
LG168,11,0,0.44
LG168,12,0,0.06
LG169,1,1,0.54
LG169,2,1,0.49
LG169,3,1,0.79
LG169,4,1,0.52
LG169,5,1,0.79
LG169,10,1,0.97
LG169,11,1,0.74
LG169,12,1,0.47
LG170,10,1,0.51
LG170,11,1,0.79
LG172,1,0,0.35
LG172,2,0,0.25
LG172,3,0,0.56
LG172,4,0,0.69
LG172,5,0,0.93
LG172,10,0,0.9
LG172,11,0,0.51
LG172,12,0,0.29
LG173,1,1,0.03
LG173,2,1,0.04
LG173,3,1,0.12
LG173,4,1,0.26
LG173,5,1,0.81
LG173,10,1,0.84
LG173,11,1,0.78
LG173,12,1,0.15
LG174,1,1,0.01
LG174,2,1,0.17
LG174,3,1,0.37
LG174,4,1,0.44
LG174,5,1,0.88
LG174,10,1,0.84
LG174,11,1,0.29
LG174,12,1,0.02
LG175,1,0,0.13
LG175,2,0,0.17
LG175,3,0,0.12
LG175,4,0,0.12
LG175,5,0,0.69
LG175,10,0,0.85
LG175,11,0,0.38
LG175,12,0,0.09
LG176,1,0,0.07
LG176,2,0,0.15
LG176,3,0,0.07
LG176,4,0,0.14
LG176,5,0,0.44
LG176,10,0,0.66
LG176,11,0,0.41
LG176,12,0,0.01
LG177,1,1,0.16
LG177,2,1,0.13
LG177,3,1,0.13
LG177,4,1,0.51
LG177,5,1,0.85
LG177,10,1,0.74
LG177,11,1,0.39
LG177,12,1,0.08
LG178,1,0,0.22
LG178,2,0,0.34
LG178,3,0,0.36
LG178,4,0,0.38
LG178,5,0,0.79
LG178,10,0,0.81
LG178,11,0,0.56
LG178,12,0,0.27
LG179,1,0,0.15
LG179,2,0,0.11
LG179,3,0,0.12
LG179,4,0,0.37
LG179,5,0,0.72
LG179,10,0,0.96
LG179,11,0,0.53
LG179,12,0,0.1
LG180,1,0,0.03
LG180,2,0,0.03
LG180,3,0,0.07
LG180,4,0,0.56
LG180,10,0,0.67
LG180,11,0,0.45
LG180,12,0,0.15
LG181,1,0,0.67
LG181,10,0,0.72
LG181,11,0,0.82
LG181,12,0,0.23
LG182,1,1,0.75
LG182,2,1,0.74
LG182,3,1,0.72
LG182,4,1,0.45
LG182,10,1,0.83
LG182,11,1,0.64
LG182,12,1,0.19
LG183,1,1,0.05
LG183,2,1,0.04
LG183,3,1,0.02
LG183,4,1,0.02
LG183,5,1,0.52
LG183,10,1,0.77
LG183,11,1,0.56
LG183,12,1,0.01
LG184,1,0,0.2
LG184,2,0,0.46
LG184,3,0,0.32
LG184,4,0,0.39
LG184,5,0,0.51
LG184,10,0,0.91
LG184,11,0,0.68
LG184,12,0,0.28
LG187,10,0,0.87
LG188,1,0,0.19
